film_id,film,mentions,list_2020,list_2021,list_2022,year,length,mpaa,imdb_categories,imdb_ratings,imdb_stars,imdb_pct10,dr_love,imdb_link,new,,44
40,Flags of our Fathers,1,0,1,0,2006,135,R,"Action, Adventure, Drama",120304,7.1,6.2,No,https://www.imdb.com/title/tt0418689/,0,,
41,Full Metal Jacket,1,0,0,1,1987,116,R,"Drama, War",734869,8.3,16.5,No,https://www.imdb.com/title/tt0093058,1,,
42,Gattaca,2,0,1,1,1997,106,PG-13,"Drama, Sci-Fi, Thriller",289313,7.8,12.9,No,https://www.imdb.com/title/tt0119177/,0,,
43,Get Out,1,0,1,0,2017,104,R,"Horror, Mystery, Thriller",527977,7.7,11.4,No,https://www.imdb.com/title/tt5052448/,0,,
44,Get Smart,1,1,0,0,2008,110,PG-13,"Action, Adventure, Comedy",209977,6.5,5.9,Yes,https://www.imdb.com/title/tt0425061/,0,,
45,Ghost,1,0,1,0,1990,127,PG-13,"Drama, Fantasy, Romance",205071,7.1,9.8,No,https://www.imdb.com/title/tt0099653/,0,,
46,The Girl with the Dragon Tattoo,1,1,0,0,2011,158,R,"Crime, Drama, Mystery",439159,7.8,11.2,No,https://www.imdb.com/title/tt1568346/,0,,
47,The Godfather,1,1,0,0,1972,175,R,"Crime, Drama",1700227,9.2,51.6,Yes,https://www.imdb.com/title/tt0068646/,0,,
48,The Grand Budapest Hotel,2,1,1,0,2014,99,R,"Adventure, Comedy, Crime",743330,8.1,15.9,No,https://www.imdb.com/title/tt2278388/,0,,
49,Gravity,1,0,0,1,2013,91,PG-13,"Drama, Sci-Fi, Thriller",819886,7.7,12.3,No,https://www.imdb.com/title/tt1454468,1,,
50,The Great Muppet Caper,1,0,1,0,1981,97,G,"Adventure, Comedy, Crime",14712,7.2,12.6,Yes,https://www.imdb.com/title/tt0082474/,0,,
51,The Greatest Showman,1,1,0,0,2017,105,PG,"Biography, Drama, Musical",254937,7.6,23,No,https://www.imdb.com/title/tt1485796/,0,,
52,The Green Mile,1,0,1,0,1999,189,R,"Crime, Drama, Fantasy",1200419,8.6,26.4,Yes,https://www.imdb.com/title/tt0120689/,0,,
53,The Grey,1,1,0,0,2011,117,R,"Action, Adventure, Drama",245875,6.8,6.9,No,https://www.imdb.com/title/tt1601913/,0,,
54,Harold and Maude,1,1,0,0,1971,91,PG,"Comedy, Drama, Romance",74651,7.9,24.2,No,https://www.imdb.com/title/tt0067185/,0,,
